Date,Product_ID,Production,Sales,Inventory,Price,Promotion,Holiday,Demand
2025-01-01,P004,185,141,188,327.62,0,0,90
2025-01-02,P005,235,163,560,491.53,1,0,142
2025-01-03,P003,595,447,308,334.32,1,0,497
2025-01-04,P005,338,296,59,166.91,1,0,255
2025-01-05,P005,551,421,310,335.3,1,0,474
2025-01-06,P002,501,476,221,292.99,0,0,453
2025-01-07,P003,283,266,62,400.93,0,0,203
2025-01-08,P003,137,98,217,98.14,0,0,12
2025-01-09,P003,293,256,370,392.46,0,0,197
2025-01-10,P005,224,179,368,293.57,0,0,147
2025-01-11,P004,474,475,378,483.35,0,0,358
2025-01-12,P003,417,312,599,203.84,1,0,330
2025-01-13,P005,494,482,468,334.68,0,0,456
2025-01-14,P002,198,155,144,469.41,1,0,188
2025-01-15,P004,357,344,367,96.13,0,0,277
2025-01-16,P002,462,363,285,471.75,1,1,286
2025-01-17,P004,405,285,383,359.55,1,0,303
2025-01-18,P005,358,302,425,80.53,0,0,273
2025-01-19,P001,528,463,508,185.43,0,0,433
2025-01-20,P004,200,131,186,368.68,1,0,145
2025-01-21,P002,470,418,596,80.31,0,0,398
2025-01-22,P005,499,446,562,311.98,0,1,413
2025-01-23,P004,245,223,345,205.65,0,0,214
2025-01-24,P001,476,452,369,329.41,0,0,385
2025-01-25,P001,208,148,398,70.58,0,0,137
2025-01-26,P003,207,178,278,442.19,0,0,121
2025-01-27,P003,503,475,319,488.07,0,0,431
2025-01-28,P002,115,104,340,486.0,0,0,39
2025-01-29,P004,559,458,214,387.34,1,0,463
2025-01-30,P004,188,132,54,108.54,0,0,126
2025-01-31,P003,310,230,428,391.22,1,1,201
2025-02-01,P004,239,223,127,61.06,0,0,159
2025-02-02,P004,179,136,459,59.96,0,0,138
2025-02-03,P001,96,118,181,195.62,0,0,83
2025-02-04,P003,236,188,91,269.89,0,0,175
2025-02-05,P005,253,260,138,396.68,0,1,150
2025-02-06,P003,152,121,451,357.48,0,0,125
2025-02-07,P005,320,265,345,250.66,0,0,206
2025-02-08,P001,457,477,344,173.13,0,0,462
2025-02-09,P002,312,302,575,498.71,0,1,147
2025-02-10,P004,248,201,471,241.78,0,0,186
2025-02-11,P001,250,212,72,253.12,0,0,194
2025-02-12,P004,290,242,192,123.63,1,0,251
2025-02-13,P002,225,294,194,407.66,0,1,192
2025-02-14,P002,298,300,274,362.16,0,0,279
2025-02-15,P001,440,314,552,149.35,1,0,291
2025-02-16,P002,479,410,153,87.07,0,0,394
2025-02-17,P005,255,225,88,356.22,0,0,107
2025-02-18,P002,393,318,247,344.53,1,0,303
2025-02-19,P004,206,155,440,172.97,0,0,187
2025-02-20,P004,80,88,228,477.89,0,0,22
2025-02-21,P004,201,153,497,117.98,0,0,105
2025-02-22,P004,579,480,549,244.55,0,0,431
2025-02-23,P005,360,332,64,474.63,0,0,330
2025-02-24,P003,335,309,338,238.88,0,0,211
2025-02-25,P001,130,86,527,337.34,0,0,30
2025-02-26,P004,216,253,280,228.92,0,0,245
2025-02-27,P002,279,220,469,173.4,1,0,310
2025-02-28,P004,303,247,206,492.79,1,0,249
2025-03-01,P002,289,249,599,234.2,0,0,178
2025-03-02,P002,559,472,490,452.34,0,0,473
2025-03-03,P004,399,362,146,153.48,0,0,371
2025-03-04,P005,202,201,460,145.9,0,1,155
2025-03-05,P002,342,273,338,64.01,0,0,233
2025-03-06,P002,101,84,303,343.25,0,0,51
2025-03-07,P004,183,108,245,215.84,1,0,149
2025-03-08,P002,338,244,571,438.96,0,0,218
2025-03-09,P002,491,418,566,262.94,0,0,417
2025-03-10,P004,247,215,167,485.69,0,0,189
2025-03-11,P004,450,444,208,133.49,0,0,358
2025-03-12,P001,497,400,277,440.88,1,0,445
2025-03-13,P005,464,421,265,399.47,1,0,422
